firstName,surname,id,team,season,jumperNumber,position,providerId,dateOfBirth,draftYear,heightInCm,weightInKg,recruitedFrom,debutYear,draftType,draftPosition,data_accessed
Riley,Thilthorpe,4046,Adelaide Crows,2022,7,KEY_FORWARD,CD_I1008384,2002-07-07,2020,202,105,Goodwood (SA)/West Adelaide (SANFL),2021,nationalDraft,2,2022-10-24
Harry,Schoenberg,3711,Adelaide Crows,2022,26,MIDFIELDER,CD_I1008543,2001-02-21,2019,183,83,Mintaro-Manoora (SA)/Woodville-West Torrens (SANFL),2020,nationalDraft,24,2022-10-24
Kieran,Strachan,1894,Adelaide Crows,2022,45,RUCK,CD_I1008752,1995-10-05,2018,204,103,South Bendigo (Vic)/Port Melbourne (VFL),2020,rookieElevation,7,2022-10-24
James,Borlase,4050,Adelaide Crows,2022,35,KEY_DEFENDER,CD_I1009029,2002-07-18,2020,192,100,Unley (SA)/Sturt (SANFL),NA,other,NA,2022-10-24
Fischer,McAsey,2640,Adelaide Crows,2022,3,KEY_DEFENDER,CD_I1009201,2001-03-08,2019,198,98,East Brighton (Vic)/Caulfield Grammar (Vic)/Sandringham U18,2020,nationalDraft,6,2022-10-24
Josh,Worrell,2696,Adelaide Crows,2022,24,KEY_DEFENDER,CD_I1011981,2001-04-11,2019,194,88,Bentleigh (Vic)/Haileybury College (Vic)/Sandringham U18,2021,nationalDraft,28,2022-10-24
Luke,Pedlar,4049,Adelaide Crows,2022,10,MEDIUM_FORWARD,CD_I1012218,2002-05-17,2020,184,84,Kingston (SA)/Prince Alfred College (SA)/Glenelg (SANFL),2021,nationalDraft,11,2022-10-24
Sam,Berry,2465,Adelaide Crows,2022,21,MIDFIELDER,CD_I1012807,2002-02-12,2020,182,86,Maffra (Vic)/Melbourne Grammar (Vic)/Gippsland U18,2021,nationalDraft,28,2022-10-24
Patrick,Parnell,2637,Adelaide Crows,2022,37,MEDIUM_DEFENDER,CD_I1013153,2002-03-04,2021,177,71,Albury (NSW)/Murray U18,2022,other,4,2022-10-24
Tariek,Newchurch,4047,Adelaide Crows,2022,42,MEDIUM_FORWARD,CD_I1016082,2002-07-21,2020,182,79,West Augusta (SA)/North Adelaide (SANFL),NA,other,NA,2022-10-24
Josh,Rachele,3232,Adelaide Crows,2022,8,MEDIUM_FORWARD,CD_I1017051,2003-04-11,2021,180,80,Shepparton Swans (Vic)/Caulfield Grammar (Vic)/Murray U18,2022,nationalDraft,6,2022-10-24
Zac,Taylor,2378,Adelaide Crows,2022,19,MIDFIELDER,CD_I1017065,2003-01-31,2021,182,79,Oak Park (Vic)/Penola Catholic College (Vic)/Calder U18,NA,nationalDraft,44,2022-10-24
Jake,Soligo,2770,Adelaide Crows,2022,14,MIDFIELDER,CD_I1017109,2003-01-25,2021,180,77,Dromana (Vic)/Rowville Secondary College (Vic)/Eastern U18,2022,nationalDraft,36,2022-10-24
Lachlan,Gollant,2364,Adelaide Crows,2022,44,KEY_FORWARD,CD_I1018075,2001-09-12,2019,192,85,St Bernard&apos;s (Vic)/PEGS (Vic)/Calder U18,2021,nationalDraft,48,2022-10-24
Brayden,Cook,4048,Adelaide Crows,2022,15,MIDFIELDER,CD_I1018335,2002-07-18,2020,190,87,Happy Valley (SA)/South Adelaide (SANFL),2021,nationalDraft,25,2022-10-24
Luke,Nankervis,5304,Adelaide Crows,2022,27,MIDFIELDER_FORWARD,CD_I1021031,2003-05-25,2021,191,77,Bentleigh (Vic)/Bentleigh SC (Vic)/Sandringham U18,NA,preseason,2,2022-10-24
Rory,Sloane,45,Adelaide Crows,2022,9,MIDFIELDER,CD_I270963,1990-03-17,2008,183,82,Upwey-Tecoma (Vic)/Eastern U18,2009,nationalDraft,44,2022-10-24
Taylor,Walker,35,Adelaide Crows,2022,13,KEY_FORWARD,CD_I280506,1990-04-25,2007,194,102,North Broken Hill (NSW)/NSW-ACT U18,2009,other,75,2022-10-24
Brodie,Smith,34,Adelaide Crows,2022,33,MEDIUM_DEFENDER,CD_I291748,1992-01-14,2010,189,88,Henley (SA)/Woodville-West Torrens (SANFL),2011,nationalDraft,14,2022-10-24
Luke,Brown,13,Adelaide Crows,2022,16,MEDIUM_DEFENDER,CD_I293193,1992-09-22,2011,181,81,Tea Tree Gully (SA)/Norwood (SANFL),2012,other,NA,2022-10-24
Rory,Laird,193,Adelaide Crows,2022,29,MIDFIELDER,CD_I293222,1993-12-29,2013,178,78,Kenilworth (SA)/West Adelaide (SANFL),2013,rookieElevation,86,2022-10-24
Paul,Seedsman,266,Adelaide Crows,2022,11,MIDFIELDER,CD_I294733,1992-01-22,2010,190,84,Rowville (Vic)/Eastern U18/Collingwood,2012,nationalDraft,76,2022-10-24
Matt,Crouch,210,Adelaide Crows,2022,5,MIDFIELDER,CD_I297401,1995-04-21,2013,182,80,Beaufort (Vic)/North Ballarat U18,2014,nationalDraft,23,2022-10-24
Reilly,O'Brien,763,Adelaide Crows,2022,43,RUCK,CD_I297523,1995-08-20,2016,203,105,Moonee Valley (Vic)/Calder U18,2016,rookieElevation,NA,2022-10-24
Ben,Davis,1382,Adelaide Crows,2022,40,MEDIUM_DEFENDER,CD_I298417,1997-05-19,2021,188,90,University of NSW-Eastern Suburbs (NSW),2019,rookieElevation,4,2022-10-24
Shane,McAdam,1924,Adelaide Crows,2022,23,MEDIUM_FORWARD,CD_I298470,1995-05-28,2018,183,82,Halls Creek (WA)/Scotch Old Collegians (SA)/Sturt (SANFL),2020,other,NA,2022-10-24
Brett,Turner,8395,Adelaide Crows,2022,46,MIDFIELDER,CD_I990377,1996-11-01,2022,185,88,Flagstaff Hill (SA)/Blackwood HS/West Adelaide (SANFL)/Glenelg (SANFL),NA,other,4,2022-10-24
Wayne,Milera,830,Adelaide Crows,2022,30,MEDIUM_FORWARD,CD_I990882,1997-09-14,2015,184,86,Ingle Farm (SA)/Central District (SANFL),2016,nationalDraft,11,2022-10-24
Billy,Frampton,1037,Adelaide Crows,2022,22,KEY_DEFENDER,CD_I991773,1996-11-20,2014,201,99,East Fremantle Power (WA)/South Fremantle (WAFL)/Port Adel,2018,nationalDraft,84,2022-10-24
Jordan,Dawson,1080,Adelaide Crows,2022,12,MEDIUM_DEFENDER,CD_I992242,1997-04-09,2015,192,86,Robe (SA)/Sturt (SANFL)/Sydney,2017,nationalDraft,56,2022-10-24
Ben,Keays,886,Adelaide Crows,2022,2,MIDFIELDER,CD_I993946,1997-02-23,2019,186,89,Morningside (Qld)/Redland (NEAFL)/Brisbane,2016,rookieElevation,7,2022-10-24
Andrew,McPherson,1658,Adelaide Crows,2022,36,MEDIUM_DEFENDER,CD_I997206,1999-06-20,2017,187,86,Port District (SA)/Woodville-West Torrens (SANFL),2020,nationalDraft,40,2022-10-24
Jackson,Hately,1858,Adelaide Crows,2022,6,MIDFIELDER,CD_I999309,2000-10-21,2018,191,85,Walkerville (SA)/Trinity College (SA)/Central Dist (SANFL)/GWS,2019,nationalDraft,14,2022-10-24
James,Rowe,4051,Adelaide Crows,2022,31,MEDIUM_FORWARD,CD_I999316,1999-09-17,2020,173,75,Henley (SA)/Woodville-West Torrens (SANFL),2021,nationalDraft,38,2022-10-24
Darcy,Fogarty,1555,Adelaide Crows,2022,32,KEY_FORWARD,CD_I999331,1999-09-25,2017,194,99,Lucindale (SA)/Rostrevor College (SA)/Glenelg (SANFL),2018,nationalDraft,12,2022-10-24
Hugh,McCluggage,1301,Brisbane Lions,2022,6,MIDFIELDER,CD_I1000978,1998-03-03,2016,185,86,South Warrnambool (Vic)/North Ballarat U18,2017,nationalDraft,3,2022-10-24
Cam,Rayner,1665,Brisbane Lions,2022,16,MIDFIELDER_FORWARD,CD_I1002235,1999-10-21,2017,186,94,Hillside (Vic)/PEGS (Vic)/Western U18,2018,nationalDraft,1,2022-10-24
Zac,Bailey,1577,Brisbane Lions,2022,33,MIDFIELDER_FORWARD,CD_I1002312,1999-09-23,2017,182,84,Southern Dists (NT)/Prince Alfred College (SA)/Norwood (SANFL),2018,nationalDraft,15,2022-10-24
Jack,Payne,1661,Brisbane Lions,2022,40,KEY_DEFENDER,CD_I1002347,1999-10-15,2017,197,105,Noosa (Qld)/Brisbane (NEAFL),2020,nationalDraft,54,2022-10-24
Brandon,Starcevich,1609,Brisbane Lions,2022,37,MEDIUM_DEFENDER,CD_I1002401,1999-07-24,2017,187,92,Mt Lawley-Inglewood (WA)/Trinity Coll (WA)/East Perth (WAFL),2018,nationalDraft,18,2022-10-24
Noah,Answerth,1774,Brisbane Lions,2022,43,MEDIUM_DEFENDER,CD_I1005053,1999-08-06,2018,183,85,Caulfield (Vic)/Oakleigh U18,2019,nationalDraft,55,2022-10-24
Oscar,McInerney,1317,Brisbane Lions,2022,46,RUCK,CD_I1005521,1994-07-10,2016,204,110,Montrose (Vic)/Casey (VFL),2018,rookieElevation,37,2022-10-24
Ely,Smith,1914,Brisbane Lions,2022,8,MIDFIELDER,CD_I1006033,2000-09-13,2018,187,91,Yarrawonga (Vic)/Sacred Heart College (Vic)/Murray U18,NA,nationalDraft,21,2022-10-24
Keidean,Coleman,2203,Brisbane Lions,2022,18,MEDIUM_DEFENDER,CD_I1006059,2000-03-31,2019,182,81,Morningside (Qld)/Brisbane (NEAFL),2020,nationalDraft,37,2022-10-24
Connor,McFadyen,1773,Brisbane Lions,2022,26,KEY_DEFENDER,CD_I1006085,2000-12-04,2018,190,95,Wilston Grange (Qld),NA,nationalDraft,42,2022-10-24
Thomas,Berry,1923,Brisbane Lions,2022,13,MEDIUM_FORWARD,CD_I1006100,2000-05-01,2018,185,81,Horsham Saints (Vic)/Ballarat Clarendon College (Vic)/GWV U18,2020,nationalDraft,36,2022-10-24
Harry,Sharp,2670,Brisbane Lions,2022,22,MIDFIELDER,CD_I1007099,2002-12-17,2020,182,74,East Point (Vic)/St Patrick&apos;s Coll (Vic)/Caulf Gram (Vic)/GWV U18,2021,nationalDraft,43,2022-10-24
Deven,Robertson,3713,Brisbane Lions,2022,2,MIDFIELDER_FORWARD,CD_I1009385,2001-06-30,2019,185,85,Manning (WA)/Aquinas College (WA)/Perth (WAFL),2020,nationalDraft,22,2022-10-24
Jaxon,Prior,3714,Brisbane Lions,2022,20,MIDFIELDER,CD_I1009386,2001-06-04,2019,189,85,Sorrento-Duncraig (WA)/West Perth (WAFL),2021,nationalDraft,59,2022-10-24
Blake,Coleman,2350,Brisbane Lions,2022,34,MEDIUM_FORWARD,CD_I1013256,2002-08-06,2020,182,82,Morningside (Qld),NA,nationalDraft,24,2022-10-24
Carter,Michael,2351,Brisbane Lions,2022,39,MEDIUM_DEFENDER,CD_I1013260,2002-05-22,2020,188,83,Maroochydore (Qld),2022,other,NA,2022-10-24
Tom,Fullarton,1771,Brisbane Lions,2022,21,KEY_FORWARD,CD_I1013532,1999-02-23,2018,200,98,Caloundra (Qld)/Brisbane (NEAFL),2020,other,NA,2022-10-24
James,Madden,1899,Brisbane Lions,2022,14,MEDIUM_DEFENDER,CD_I1013978,1999-11-15,2018,188,88,County Dublin (Ireland),2021,other,NA,2022-10-24
Kai,Lohmann,5146,Brisbane Lions,2022,1,MEDIUM_FORWARD,CD_I1014026,2003-05-06,2021,185,77,"Lake Wendoree (Vic)/St Patrick&apos;s College, Ballarat/GWV U18",2022,nationalDraft,20,2022-10-24
Henry,Smith,4053,Brisbane Lions,2022,19,RUCK,CD_I1016189,2002-09-24,2020,206,104,Blackwood (SA)/Woodville-West Torrens (SANFL),NA,nationalDraft,48,2022-10-24
Darcy,Wilmot,2786,Brisbane Lions,2022,44,MEDIUM_DEFENDER,CD_I1017067,2003-12-31,2021,183,75,Montmorency (Vic)/Hazel Glen College (Vic)/Northern U18,2022,nationalDraft,16,2022-10-24
Kalin,Lane,5556,Brisbane Lions,2022,45,RUCK,CD_I1018296,2001-12-05,2021,205,102,Denmark-Walpole (WA)/Claremont (WAFL),NA,other,14,2022-10-24
James,Tunstill,5673,Brisbane Lions,2022,29,MIDFIELDER,CD_I1021108,2003-07-18,2021,187,75,Busselton (WA)/Bunbury Grammar (WA)/East Perth (WAFL),2022,nationalDraft,41,2022-10-24
Deividas,Uosis,4052,Brisbane Lions,2022,41,MEDIUM_DEFENDER,CD_I1021659,2000-06-28,2020,182,78,County Kerry (Ireland),NA,other,NA,2022-10-24
Dayne,Zorko,8,Brisbane Lions,2022,15,MIDFIELDER_FORWARD,CD_I261224,1989-02-09,2011,175,82,Surfers Paradise (Qld)/Broadbeach (Qld),2012,other,NA,2022-10-24
Daniel,Rich,190,Brisbane Lions,2022,10,MEDIUM_DEFENDER,CD_I271072,1990-06-07,2008,183,95,Sorrento-Duncraig (WA)/Subiaco (WAFL),2009,nationalDraft,7,2022-10-24
Mitch,Robinson,211,Brisbane Lions,2022,5,MIDFIELDER,CD_I290311,1989-06-07,2008,184,89,Lauderdale (Tas)/Tasmania U18/Tasmania (VFL)/Carlton,2009,nationalDraft,40,2022-10-24
Ryan,Lester,124,Brisbane Lions,2022,35,MEDIUM_DEFENDER,CD_I291548,1992-08-26,2010,192,84,Mulgrave (Vic)/Oakleigh U18,2011,nationalDraft,28,2022-10-24
Cameron,Ellis-Yolmen,92,Brisbane Lions,2022,28,MEDIUM_FORWARD,CD_I293479,1993-01-28,2021,190,100,Flinders Park (SA)/Woodville-West Torrens (SANFL)/Adelaide,2014,rookieElevation,14,2022-10-24
Lachie,Neale,355,Brisbane Lions,2022,9,MIDFIELDER,CD_I293535,1993-05-24,2011,178,84,Kybybolite (SA)/Glenelg (SANFL)/Fremantle,2012,nationalDraft,58,2022-10-24
Lincoln,McCarthy,294,Brisbane Lions,2022,11,MEDIUM_FORWARD,CD_I293581,1993-10-22,2011,178,82,Bordertown (SA)/Glenelg (SANFL)/Geelong,2012,nationalDraft,66,2022-10-24
Jarryd,Lyons,194,Brisbane Lions,2022,17,MIDFIELDER,CD_I293716,1992-07-22,2010,184,88,St Peters (Vic)/Sandringham U18/Adelaide/Gold Coast,2012,nationalDraft,61,2022-10-24
Marcus,Adams,959,Brisbane Lions,2022,24,KEY_DEFENDER,CD_I294168,1993-06-30,2015,192,98,Upper Swan (WA)/West Perth (WAFL)/Western Bulldogs,2016,nationalDraft,35,2022-10-24
Joe,Daniher,282,Brisbane Lions,2022,3,KEY_FORWARD,CD_I294518,1994-03-04,2012,201,97,Aberfeldie (Vic)/Calder U18/Essendon,2013,fatherSon,10,2022-10-24
Darcy,Gardiner,132,Brisbane Lions,2022,27,KEY_DEFENDER,CD_I296269,1995-09-22,2013,192,91,Queenscliff (Vic)/St Joseph&apos;s College (Vic)/Geelong U18,2014,nationalDraft,22,2022-10-24
Daniel,McStay,249,Brisbane Lions,2022,25,KEY_FORWARD,CD_I297504,1995-06-24,2013,195,98,Vermont (Vic)/Eastern U18,2014,nationalDraft,25,2022-10-24
Darcy,Fort,1940,Brisbane Lions,2022,32,RUCK,CD_I298211,1993-08-06,2018,204,98,Sth Barwon (Vic)/Geel U18/Werribee (VFL)/Foots (VFL)/Cent Dist (SANFL)/Geel,2019,nationalDraft,65,2022-10-24
Nakia,Cockatoo,911,Brisbane Lions,2022,12,MEDIUM_FORWARD,CD_I298336,1996-10-23,2014,185,90,Southern Districts (NT)/NT Thunder (NEAFL)/Geelong,2015,nationalDraft,10,2022-10-24
Callum,Ah Chee,850,Brisbane Lions,2022,4,MIDFIELDER,CD_I298437,1997-10-09,2015,183,81,Kelmscott (WA)/South Fremantle (WAFL)/Gold Coast,2016,nationalDraft,8,2022-10-24
Charlie,Cameron,152,Brisbane Lions,2022,23,MEDIUM_FORWARD,CD_I990609,1994-07-05,2014,180,76,Newman Saints (WA)/Swan Districts (WAFL)/Adelaide,2014,rookieElevation,NA,2022-10-24
Rhys,Mathieson,758,Brisbane Lions,2022,36,MIDFIELDER_FORWARD,CD_I993828,1997-01-10,2015,186,86,Bell Park (Vic)/Geelong U18,2016,nationalDraft,39,2022-10-24
Eric,Hipwood,864,Brisbane Lions,2022,30,KEY_FORWARD,CD_I993953,1997-09-13,2015,203,92,Caloundra (Qld)/Aspley (NEAFL),2016,nationalDraft,14,2022-10-24
Harris,Andrews,822,Brisbane Lions,2022,31,KEY_DEFENDER,CD_I996059,1996-12-11,2014,202,100,Aspley (NEAFL),2015,nationalDraft,61,2022-10-24
Mitch,Cox,4839,Brisbane Lions,2022,42,MIDFIELDER,CD_I996707,1997-03-24,2021,190,81,Narre Warren / Dandenong Stingrays/Frankston (VFL),NA,preseason,NA,2022-10-24
Jarrod,Berry,1343,Brisbane Lions,2022,7,MIDFIELDER,CD_I998133,1998-02-05,2016,192,90,Horsham Saints (Vic)/Ballarat Clarendon College (Vic)/North Ballarat U18,2017,nationalDraft,17,2022-10-24
John,Noble,1768,Collingwood,2022,9,MEDIUM_DEFENDER,CD_I1000072,1997-03-25,2019,180,75,Plympton (SA)/West Adelaide (SANFL),2019,other,14,2022-10-24
Callum L.,Brown,1377,Collingwood,2022,17,MEDIUM_FORWARD,CD_I1002770,1998-04-27,2016,179,81,Beverley Hills (Vic)/Marcellin College (Vic)/Eastern U18,2017,fatherSon,35,2022-10-24
Patrick,Lipinski,1353,Collingwood,2022,1,MIDFIELDER_FORWARD,CD_I1003130,1998-07-17,2016,190,86,Eltham (Vic)/Northern U18/Western Bulldogs,2017,nationalDraft,28,2022-10-24
Beau,McCreery,4056,Collingwood,2022,31,MEDIUM_FORWARD,CD_I1004757,2001-04-19,2020,186,84,Cove (SA)/South Adelaide (SANFL),2021,nationalDraft,44,2022-10-24
Josh,Daicos,1321,Collingwood,2022,7,MIDFIELDER,CD_I1005054,1998-11-26,2016,178,78,Greythorn (Vic)/Bulleen-Templestowe (Vic)/Oakleigh U18,2017,fatherSon,57,2022-10-24
Nathan,Murphy,1556,Collingwood,2022,28,KEY_DEFENDER,CD_I1005107,1999-12-15,2017,192,97,East Sandringham (Vic)/Brighton Grammar (Vic)/Sandr U18,2018,nationalDraft,39,2022-10-24
Isaac,Quaynor,1772,Collingwood,2022,3,MEDIUM_DEFENDER,CD_I1008089,2000-01-15,2018,180,87,East Doncaster (Vic)/Oakleigh U18,2019,nationalDraft,13,2022-10-24
Tyler,Brown,1672,Collingwood,2022,6,MIDFIELDER_FORWARD,CD_I1008171,1999-12-09,2017,192,84,Templestowe (Vic)/Eastern U18,2020,fatherSon,50,2022-10-24
Will,Kelly,1784,Collingwood,2022,20,KEY_DEFENDER,CD_I1008285,2000-08-16,2018,194,92,Glen Iris (Vic)/Scotch College (Vic)/Oakleigh U18,2020,fatherSon,29,2022-10-24
Trent,Bianco,2690,Collingwood,2022,8,MIDFIELDER_FORWARD,CD_I1009186,2001-01-20,2019,178,75,Doncaster (Vic)/Marcellin College (Vic)/Oakleigh U18,2021,nationalDraft,45,2022-10-24
Charlie,Dean,2679,Collingwood,2022,43,KEY_DEFENDER,CD_I1009197,2001-06-19,2021,195,89,Collegians (Vic)/Wesley Coll (Vic)/Sandr U18/Williamstown (VFL),NA,rookieElevation,2,2022-10-24
Trey,Ruscoe,3715,Collingwood,2022,21,MEDIUM_DEFENDER,CD_I1009383,2001-11-03,2019,193,93,Booragoon (WA)/Aquinas College (WA)/East Fremantle (WAFL),2020,nationalDraft,55,2022-10-24
Jack,Madgen,1466,Collingwood,2022,44,KEY_DEFENDER,CD_I1010841,1993-04-25,2017,192,94,Barossa District (SA),2018,other,NA,2022-10-24
Caleb,Poulter,4057,Collingwood,2022,24,MIDFIELDER,CD_I1011589,2002-10-12,2020,194,84,Ardrossan (SA)/Woodville-West Torrens (SANFL),2021,nationalDraft,30,2022-10-24
Arlo,Draper,5675,Collingwood,2022,19,MEDIUM_DEFENDER,CD_I1011637,2003-01-30,2021,186,78,Willunga (SA)/Cardijn Catholic Coll (SA)/S Adelaide (SANFL),NA,nationalDraft,45,2022-10-24
Cooper,Murley,5676,Collingwood,2022,27,MIDFIELDER_FORWARD,CD_I1011718,2003-06-20,2021,178,67,Tea Tree Gully (SA)/Pedare Christian Coll (SA)/Norwood (SANFL),NA,nationalDraft,49,2022-10-24
Finlay,Macrae,2695,Collingwood,2022,18,MIDFIELDER_FORWARD,CD_I1012828,2002-03-13,2020,188,83,Kew Rovers (Vic)/Xavier College (Vic)/Oakleigh U18,2021,nationalDraft,19,2022-10-24
Liam,McMahon,2678,Collingwood,2022,29,KEY_DEFENDER,CD_I1012842,2002-05-02,2020,198,89,Eltham (Vic)/Northern U18,NA,nationalDraft,31,2022-10-24
Jack,Ginnivan,2238,Collingwood,2022,33,MEDIUM_FORWARD,CD_I1012857,2002-12-09,2020,185,80,Strathfieldsaye (Vic)/Bendigo U18,2021,rookieElevation,13,2022-10-24
Oliver,Henry,2591,Collingwood,2022,16,KEY_FORWARD,CD_I1012860,2002-07-29,2020,189,80,"St Mary&apos;s, Geelong (Vic)/St Joseph&apos;s College, Geel (Vic)/Geel U18",2021,nationalDraft,17,2022-10-24
Reef,McInnes,2922,Collingwood,2022,26,MEDIUM_FORWARD,CD_I1013278,2002-12-12,2020,194,87,Surrey Park (Vic)/Scotch College (Vic)/Oakleigh U18,2022,nationalDraft,23,2022-10-24
Mark,Keane,1901,Collingwood,2022,11,KEY_DEFENDER,CD_I1013974,2000-03-17,2018,194,96,County Cork (Ireland),2020,other,NA,2022-10-24
Harvey,Harrison,5677,Collingwood,2022,36,MIDFIELDER_FORWARD,CD_I1015332,2003-11-10,2021,181,76,Golden Grove (SA)/Tyndale Christian Coll (SA)/North Adel (SANFL),NA,nationalDraft,52,2022-10-24
Aiden,Begg,2703,Collingwood,2022,39,RUCK,CD_I1015748,2002-10-08,2021,197,90,North Ringwood (Vic)/Eastern U18,2022,other,18,2022-10-24
Isaac,Chugg,3369,Collingwood,2022,34,MEDIUM_FORWARD,CD_I1015901,2002-02-26,2021,181,84,Launceston (Tas),2022,rookieElevation,20,2022-10-24
Nick,Daicos,5257,Collingwood,2022,35,MEDIUM_DEFENDER,CD_I1023261,2003-01-03,2021,184,73,Kew Rovers (Vic)/Camberwell Grammar (Vic)/Oakleigh U18,2022,fatherSon,4,2022-10-24
Josh,Carmichael,8396,Collingwood,2022,45,MIDFIELDER_FORWARD,CD_I1027021,1999-09-23,2022,190,89,Imperial (Vic)/Merbein (Vic)/Waratah (NT)/West Adelaide (SANFL),2022,other,9,2022-10-24
Scott,Pendlebury,118,Collingwood,2022,10,MIDFIELDER,CD_I260257,1988-01-07,2005,191,86,Sale (Vic)/Gippsland U18,2006,nationalDraft,5,2022-10-24
Jordan,Roughead,768,Collingwood,2022,23,KEY_DEFENDER,CD_I280012,1990-11-03,2008,200,98,Lake Wendouree (Vic)/North Ballarat U18/Western Bulldogs,2010,nationalDraft,31,2022-10-24
Steele,Sidebottom,154,Collingwood,2022,22,MIDFIELDER,CD_I280965,1991-01-02,2008,184,84,Congupna (Vic)/Murray U18,2009,nationalDraft,11,2022-10-24
Jeremy,Howe,504,Collingwood,2022,38,KEY_DEFENDER,CD_I291313,1990-06-29,2010,190,85,Dodges Ferry (Tas)/Hobart (Tas)/Melbourne,2011,nationalDraft,33,2022-10-24
Will,Hoskin-Elliott,506,Collingwood,2022,32,MEDIUM_FORWARD,CD_I291720,1993-09-02,2011,186,83,North Sunshine (Vic)/Western U18/GWS,2012,nationalDraft,4,2022-10-24
Taylor,Adams,145,Collingwood,2022,13,MIDFIELDER,CD_I291776,1993-09-20,2011,181,84,"St Joseph&apos;s Geel (Vic)/St Joseph&apos;s Coll, Geel (Vic)/Geel U18/GWS",2012,nationalDraft,13,2022-10-24
Brody,Mihocek,1685,Collingwood,2022,41,KEY_FORWARD,CD_I291849,1993-02-04,2017,192,97,Burnie (Tas)/Tas U18/Maribyrnong Pk (Vic)/Werribee (VFL)/Port Melb (VFL),2018,rookieElevation,22,2022-10-24
Jamie,Elliott,112,Collingwood,2022,5,MEDIUM_FORWARD,CD_I293801,1992-08-21,2011,178,80,Euroa (Vic)/Murray U18,2012,other,NA,2022-10-24
Jack,Crisp,212,Collingwood,2022,25,MIDFIELDER,CD_I293871,1993-10-02,2012,190,92,Myrtleford (Vic)/Murray U18/Brisbane,2012,rookieElevation,86,2022-10-24
Brodie,Grundy,113,Collingwood,2022,4,RUCK,CD_I293957,1994-04-15,2012,203,104,Unley (SA)/Sturt (SANFL),2013,nationalDraft,18,2022-10-24
Darcy,Moore,895,Collingwood,2022,30,KEY_DEFENDER,CD_I298288,1996-01-25,2014,203,100,Kew Comets (Vic)/Carey Grammar (Vic)/Oakleigh U18,2015,fatherSon,9,2022-10-24
Darcy,Cameron,1330,Collingwood,2022,14,RUCK,CD_I990291,1995-07-18,2016,204,101,North Albany (WA)/Claremont (WAFL)/Sydney,2018,nationalDraft,48,2022-10-24
Brayden,Maynard,862,Collingwood,2022,37,MEDIUM_DEFENDER,CD_I992010,1996-09-20,2014,189,93,Hampton Rovers (Vic)/Sandringham U18,2015,nationalDraft,30,2022-10-24
Tom,Wilson,3742,Collingwood,2022,12,MEDIUM_FORWARD,CD_I993797,1997-06-24,2019,194,86,East Sandringham (Vic)/Caulfield Grammar (Vic),2021,other,NA,2022-10-24
Jordan,De Goey,782,Collingwood,2022,2,MIDFIELDER,CD_I994185,1996-03-15,2014,188,93,Ashburton (Vic)/St Kevin&apos;s College (Vic)/Oakleigh U18,2015,nationalDraft,5,2022-10-24
